asho,Site,URL,Full Street Address,Street address,Suite,City,State,Zip,Group,Brand Facebook URL,Brand Twitter handle,Brand Twitter URL,Newseum front page link KILL/WILL NOT WORK,Daily/Wkly,Frequency,MNG/JRC,"City, State",Marker,lat,lon
63,Heritage Newspapers West,http://Heritage.com,"106 West Michigan Avenue, Saline, MI 48176",106 West Michigan Avenue,,Saline,MI,48176,MICHIGAN,http://bit.ly/HeritageFBpages,"@A2Journal, @SalineMilanNews, @manchenterprise, @YpsiCourier, @BellevilleView, @chelseadexter",http://bit.ly/Ue0QEX,,W,W,JRC,"Saline, MI",small_red,42.1665674,-83.781989
29,Housatonic Times,http://Housatonictimes.com,"59 Field St., Torrington, CT 06790",59 Field St.,,Torrington,CT,6790,CONNECTICUT,https://www.facebook.com/RegisterCitizen?fref=ts#!/HousatonicTimes?fref=ts,@housatonictimes,https://twitter.com/HousatonicTimes,,W,W,JRC,"Torrington, CT",small_red,41.807289,-73.126064
140,Ile Camera,http://www.thenewsherald.com/ile_camera/,"One Heritage Drive, Suite 100, Southgate, MI 48195",One Heritage Drive, Suite 100,Southgate,MI,48195,MICHIGAN,http://www.facebook.com/pages/The-Ile-Camera/10150092236120655?ref=ts&fref=ts,@IleCamera,https://twitter.com/IleCamera,,W,W,JRC,"Southgate, MI",small_red,42.210209,-83.224242
13,Julesburg Advocate,http://www.julesburgadvocate.com/,"108 Cedar St., Julesburg, CO 80737",108 Cedar St.,,Julesburg,CO,80737,COLORADO,http://www.facebook.com/JulesburgAdvocate?fref=ts,@JlsburgAdvocate,https://twitter.com/JlsburgAdvocate,,W,W,MNG,"Julesberg, CO",small_red,40.9865819,-102.2623662
14,Lamar Ledger,http://www.lamarledger.com/,"310 South 5th St., Lamar, CO 81052",310 South 5th St.,,Lamar,CO,81052,COLORADO,http://www.facebook.com/lamarledger?fref=ts,@LamarLedger,https://twitter.com/LamarLedger,,W,W,MNG,"Lamar, CO",small_red,38.0869716,-102.6205334
89,Las Noticias,http://www.lasnoticiasny.com/,"79 Hurley Avenue, Kingston, NY 12401",79 Hurley Avenue,,Kingston,NY,12401,NEW YORK,,,,,W,W,JRC,"Kingston, NY",small_red,41.937761,-74.028575
27,Litchfield County Times,http://countytimes.com,"59 Field St., Torrington, CT 06790",59 Field St.,,Torrington,CT,6790,CONNECTICUT,https://www.facebook.com/#!/TheLitchfieldCtyTimes?fref=ts,@thelct,https://twitter.com/thelct,,W,W,JRC,"Litchfield, CT",small_red,41.807289,-73.126064
22,Longmont Weekly,http://www.longmontweekly.com,"1067 South Hover St., Unit E, Longmont, CO 80501",1067 South Hover St., Unit E,Longmont,CO,80501,COLORADO,http://www.facebook.com/LongmontWeekly?fref=ts,@LongmontWeekly,https://twitter.com/LongmontWeekly,,W,W,MNG,"Longmont, CO",small_red,40.1482512,-105.1311917
113,Mainline Media News,http://Mainlinemedianews.com,"311 East Lancaster Ave., Ardmore, PA 19003",311 East Lancaster Ave.,,Ardmore,PA,19003,PENNSYLVANIA,http://www.facebook.com/pages/Main-Line-Media-News/271581712275,@MLmedianews,https://twitter.com/MLMediaNews,,W,W,JRC,"Ardmore, PA",small_red,40.002786,-75.279328
98,Mendocino Beacon,http://www.mendocinobeacon.com/,"450 North Franklin St., Fort Bragg, CA 95437",450 North Franklin St.,,Fort Bragg,CA,95437,NORCAL - Northern California,http://www.facebook.com/MendocinoBeacon?fref=ts,@MendocinoBeacon,https://twitter.com/MendocinoBeacon,,W,W,MNG,"Menocino, CA",small_red,39.446597,-123.804001
